"year","name","homeless_per_100k"
"2008","Massachusetts",225.54407104094
"2008","Maryland",163.06978021045
"2008","Maine",198.336146612009
"2008","Michigan",282.443734224526
"2008","Minnesota",146.796658397992
"2008","Missouri",130.562272106246
"2008","Mississippi",66.9660388956238
"2008","Montana",146.884128428765
"2008","North Carolina",136.114823837631
"2008","North Dakota",94.2063839760302
"2008","Nebraska",223.444579015835
"2008","New Hampshire",153.823883462599
"2008","New Jersey",159.393677145987
"2008","New Mexico",151.502208465029
"2008","Nevada",335.477064840958
"2008","New York",319.485311123812
"2008","Ohio",112.273691818455
"2008","Oklahoma",105.823628936021
"2008","Oregon",554.82768319616
"2008","Pennsylvania",122.397939435704
"2008","Rhode Island",113.116715453767
"2008","South Carolina",127.359583808682
"2008","South Dakota",73.1408764020247
"2008","Tennessee",157.147490489784
"2008","Texas",168.638925262745
"2008","Utah",132.19152295875
"2008","Virginia",109.263320861824
"2008","Vermont",153.01188007333
"2008","Washington",339.761733456502
"2008","Wisconsin",97.1167084761018
"2008","West Virginia",109.920547509013
"2008","Wyoming",140.406374561581
"2009","Alaska",289.764420943916
"2009","Alabama",128.862538007031
"2009","Arkansas",99.2153913267937
"2009","Arizona",234.397316587802
"2009","California",337.877995167622
"2009","Colorado",312.246279446922
"2009","Connecticut",129.880056261615
"2009","District of Columbia",1073.35635844725
"2009","Delaware",127.846276731751
"2009","Florida",300.092215246632
"2009","Georgia",214.206589209311
"2009","Hawaii",434.014680835572
"2009","Iowa",112.041698074805
"2009","Idaho",126.375202043902
"2009","Illinois",110.260909240249
"2009","Indiana",108.703671363773
"2009","Kansas",67.377093782362
"2009","Kentucky",139.840806661635
"2009","Louisiana",281.901872717607
"2009","Massachusetts",239.327237254418
"2009","Maryland",205.770835880256
"2009","Maine",183.689099434878
"2009","Michigan",140.797791148569
"2009","Minnesota",147.093072674803
"2009","Missouri",117.472968894225
"2009","Mississippi",94.884127381517
"2009","Montana",122.488900723565
"2009","North Carolina",138.762240386085
"2009","North Dakota",117.554203437206
"2009","Nebraska",206.972029272236
"2009","New Hampshire",125.008929209229
"2009","New Jersey",151.175111266214
"2009","New Mexico",172.828650464374
"2009","Nevada",417.88041286841
"2009","New York",317.851416655337
"2009","Ohio",110.287180001096
"2009","Oklahoma",131.862405205158
"2009","Oregon",459.277192319571
"2009","Pennsylvania",119.6928233068
"2009","Rhode Island",152.321841738839
"2009","South Carolina",98.7636111844656
"2009","South Dakota",91.4751653060101
"2009","Tennessee",168.581833338642
"2009","Texas",151.223583951632
"2009","Utah",142.506897221172
"2009","Virginia",113.001908726321
"2009","Vermont",194.504214525011
"2009","Washington",347.168516317088
"2009","Wisconsin",115.671062344309
"2009","West Virginia",90.5825648939581
"2009","Wyoming",94.3149165908179
"2010","Alaska",260.916695727437
"2010","Alabama",126.348935803832
"2010","Arkansas",94.511554567933
"2010","Arizona",213.959971336761
"2010","California",330.743393991318
"2010","Colorado",306.680289858632
"2010","Connecticut",120.568190166988
"2010","District of Columbia",1080.60139541186
"2010","Delaware",109.136455021222
"2010","Florida",305.312126489863
"2010","Georgia",204.211601763904
"2010","Hawaii",427.718881508527
"2010","Iowa",98.7971917209658
"2010","Idaho",149.332966684617
"2010","Illinois",112.099687499246
"2010","Indiana",99.4054469624487
"2010","Kansas",70.7983422554169
"2010","Kentucky",152.325114186337
"2010","Louisiana",274.634424001491
"2010","Massachusetts",253.555349886886
"2010","Maryland",187.357182258545
"2010","Maine",179.182718922644
"2010","Michigan",132.20119649271
"2010","Minnesota",148.166893652548
"2010","Missouri",135.455796580817
"2010","Mississippi",92.347076876669
"2010","Montana",163.025428938578
"2010","North Carolina",127.534541084356
"2010","North Dakota",118.452848650171
"2010","Nebraska",211.855029302878
"2010","New Hampshire",119.540551132066
"2010","New Jersey",156.033458425892
"2010","New Mexico",168.301980732692
"2010","Nevada",414.471932056935
"2010","New York",338.124364786331
"2010","Ohio",108.909581911634
"2010","Oklahoma",139.084093078086
"2010","Oregon",507.87238677093
"2010","Pennsylvania",114.191189531415
"2010","Rhode Island",121.722072997164
"2010","South Carolina",96.4862440771942
"2010","South Dakota",89.5505200912901
"2010","Tennessee",161.659129862969
"2010","Texas",139.124128424235
"2010","Utah",118.324177982047
"2010","Virginia",113.135322430062
"2010","Vermont",194.893160208568
"2010","Washington",339.28216566366
"2010","Wisconsin",111.296536995862
"2010","West Virginia",122.099529453006
"2010","Wyoming",102.565737729311
"2011","Alaska",294.443214522913
"2011","Alabama",115.7649442587
"2011","Arkansas",NA
"2011","Arizona",162.381128171642
"2011","California",331.904209953763
"2011","Colorado",295.264362786846
"2011","Connecticut",124.130895695226
"2011","District of Columbia",1055.0032878196
"2011","Delaware",113.997330149485
"2011","Florida",296.704624780685
"2011","Georgia",213.762754426087
"2011","Hawaii",448.982642191743
"2011","Iowa",102.23824773952
"2011","Idaho",138.814014470998
"2011","Illinois",108.918741440794
"2011","Indiana",95.0766820447625
"2011","Kansas",87.4938195076722
"2011","Kentucky",138.144757573579
"2011","Louisiana",203.065056221547
"2011","Massachusetts",252.034356166712
"2011","Maryland",174.669769245287
"2011","Maine",184.226395945965
"2011","Michigan",133.497506072187
"2011","Minnesota",140.142730556295
"2011","Missouri",149.552780784972
"2011","Mississippi",77.4345458141524
"2011","Montana",177.199407464425
"2011","North Carolina",133.623112570945
"2011","North Dakota",87.9873228215477
"2011","Nebraska",192.576679224678
"2011","New Hampshire",111.427669864618
"2011","New Jersey",159.867754299648
"2011","New Mexico",173.272781689768
"2011","Nevada",336.543182904048
"2011","New York",324.972307309016
"2011","Ohio",112.858390350062
"2011","Oklahoma",122.140396226086
"2011","Oregon",446.011628769637
"2011","Pennsylvania",118.444572318273
"2011","Rhode Island",101.724950943855
"2011","South Carolina",108.99402983222
"2011","South Dakota",100.207572829432
"2011","Tennessee",142.426053480803
"2011","Texas",143.877494380705
"2011","Utah",111.133203618753
"2011","Virginia",108.694807887229
"2011","Vermont",182.547268413099
"2011","Washington",299.550256923811
"2011","Wisconsin",101.318453444302
"2011","West Virginia",119.194715970475
"2011","Wyoming",182.821152301644
"2012","Alaska",261.614708408321
"2012","Alabama",108.158300230747
